0.0,35.0068,1.0,-94.16735341356468
10.0,23.2179,1.0,597.1603148169655
30.0,23.3604,2.0,1226.8524038984144
50.0,30.504,3.0,1602.4974023155416
50.0,23.2713,4.0,1972.7175971568322
20.0,30.4548,1.0,598.103738062957
0.0,19.8221,1.0,456.8358971628488
0.0,35.0068,1.0,-94.16735341356468
10.0,23.2179,1.0,597.1603148169655
30.0,23.3604,2.0,1226.8524038984144
50.0,30.504,3.0,1602.4974023155416
50.0,23.2713,4.0,1972.7175971568322
20.0,30.4548,1.0,598.103738062957
0.0,19.8221,1.0,456.8358971628488
0.0,35.0068,1.0,-94.16735341356468
10.0,23.2179,1.0,597.1603148169655
30.0,23.3604,2.0,1226.8524038984144
50.0,30.504,3.0,1602.4974023155416
50.0,23.2713,4.0,1972.7175971568322
20.0,30.4548,1.0,598.103738062957
0.0,19.8221,1.0,456.8358971628488
0.0,35.0068,1.0,-94.16735341356468
10.0,23.2179,1.0,597.1603148169655
30.0,23.3604,2.0,1226.8524038984144
50.0,30.504,3.0,1602.4974023155416
50.0,23.2713,4.0,1972.7175971568322
20.0,30.4548,1.0,598.103738062957
